"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"1pdq-xea3-sqa";"Northern";"Koinadugu";"Wara Wara Yagala";"HEREMAKONO";"DEC PRI. SCH WELL";"3";"School";"9.503953333333333";"-11.594069999999999";"448.3";"Rehabilitated hand dug well - handpump";6,5;NA;0,03;0,05;0,06;1;0,05;0,7;10;0,01;NA;0;15;29;"06382";"Intermediate Risk / Possibly Safe";"4.7";"22.75";1
"jbjb-fwn6-v9pj";"Southern";"Bonthe";"Kpanda Kemo";"KOBOTU";"DEC PRIMARY";NA;"School";"7.61089";"-12.00516";"22.0";"New borehole - handpump";6,5;NA;0,04;0,05;0,02;1,2;0,05;5,5;5;0,01;10,1;0;33,2;11;"03509";"Low Risk / Safe";"0";"2.87";5
"7067-gahj-6e4p";"Southern";"Moyamba";"Fakunya";"NJAGBAHUN";"ISLAMIC CALL SOCIETY PRI SCHOOL ICSS NJAGNAHUN";"3";"School";"8.25890401";"-12.2808531";"98.0";"Rehabilitated hand dug well - handpump";6,97;NA;0,04;0,05;0,02;1;0,05;0,7;34;0,01;NA;0;147;325;"03677";"Low Risk / Safe";"0";"2.87";1
"ysk1-3fmv-qfrw";"Southern";"Moyamba";"Kaiyamba";"LEVUMA";"MCHP LEVUMA";"4";"PHU";"8.11688209";"-12.37208965";"95.0";"New hand dug well - handpump";7,14;NA;0,04;0,05;0,14;1,3;0,05;0,6;5;0,01;NA;0;117;358;"03676";"Intermediate Risk / Probably Safe";"1.5";"7.81";1
"14g1-k2aa-q1f5";"Southern";"Bo";"Niawa Lenga";"NENGBEMA";"BDEC PRIMARY SCHOOL WATER POINT";"1";"School";"8.12763339";"-11.65289397";"130.0";"New hand dug well - handpump";6,84;NA;0,05;0,05;0,02;2;0,2;0,9;5;0,01;NA;0;153;30,5;"02539";"Low Risk / Safe";"0";"2.87";2
"53d2-uqh4-m13x";"Southern";"Bo";"Niawa Lenga";"SAHN";"RC PRIMARY SCHOOL WATER POINT";"1";"School";"8.15740878";"-11.59767863";"151.0";"Rehabilitated hand dug well - handpump";6,96;NA;0,05;0,05;0,02;1;0,25;2,2;13;0,01;NA;40;223;28,7;"02560";"Low Risk / Safe";"0";"2.87";3
"sv7r-wtkx-1pq9";"Southern";"Bo";"Niawa Lenga";"TONDORYA";"TONDORYA   COMMUNITY WATER POINT";"1";"Community water point";"8.12756984";"-11.61090174";"118.0";"New hand dug well - handpump";6,98;NA;0,02;0,05;0,02;1;0,05;0,9;22;0,01;0,5;0;169;30,5;"01459";"High Risk / Possibly Unsafe";"13.6";"83.06";2
"6bh9-m9qj-vbe1";"Southern";"Bo";"Niawa Lenga";"TONDORYA";"BDEC PRIMARY SCHOOL WATER POINT";"1";"School";"8.12813136";"-11.6080753";"164.0";"New hand dug well - handpump";6,63;NA;0,02;0,05;0,02;1;0,05;0,6;5;0,01;NA;0;135;29,6;"01460";"Intermediate Risk / Probably Safe";"1.5";"7.81";2
"85k7-ktuk-8n3v";"Southern";"Bo";"Valunia";"MANDU";"AHMADIYA MUSLIM PRIMARY SCHOOL";"1";"School";"8.20413675";"-11.68676826";"153.0";"Tap stands from gravity fed water scheme";6,59;NA;0,05;0,13;0,13;1;0,12;0,6;5;0,04;NA;0;16;30,4;"01463";"Very High Risk / Unsafe";">100";"9435.1";2
"u31d-w71x-uvtf";"Eastern";"Kenema";"Nongowa";"BARVE";"BARVE COMMUNITY WATER POINT";NA;"Community water point";"8.042390000000001";"-10.980546666666665";"173.3";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,05;6,9;0,05;0,8;5;0,01;NA;0;91;29,9;"03947";"Low Risk / Safe";"0";"2.87";0
